Constituency,Elected MP[6],Elected Party,Majority,Previous MP[7],Previous Party
Amenfi Central,Joana Gyan Cudjoe,NDC,,Peter Yaw Kwakye Ackah,NDC
Amenfi East,Nicholas Amankwah,NDC,,Nicholas Amankwah,NDC
Amenfi West,Eric Afful,NDC,,Eric Afful,NDC
Effia,Isaac Yaw Boamah-Nyarko,NPP,,Joseph Cudjoe,NPP
Ellembelle,Emmanuel Armah-Kofi Buah,NDC,,Emmanuel Armah-Kofi Buah,NDC
Essikado-Ketan,Grace Ayensu-Danquah,NDC,,Joe Ghartey,NPP
Evalue-Ajomoro-Gwira,Kofi Arko Nokoe,NDC,,Kofi Arko Nokoe,NDC
Jomoro,Dorcas Affo-Toffey,NDC,,Dorcas Affo-Toffey,NDC
Kwesimintsim,Philip Fiifi Buckman,NDC,,Prince Hamidu Armah,NPP
Mpohor,Bentil Godfred Henry,NDC,,Kobina Abbam Aboah Sanie,NPP
Prestea-Huni Valley,Robert Wisdom Cudjoe,NDC,,Robert Wisdom Cudjoe,NDC
Sekondi,Blay Nyameke Armah,NDC,,Andrew Kofi Egyapa Mercer,NPP
Shama,Emelia Arthur,NDC,,Samuel Erickson Abakah,NPP
Takoradi,Kwabena Okyere Darko-Mensah,NPP,,Kwabena Okyere Darko-Mensah,NPP
Tarkwa-Nsuaem,Issa Salifu Taylor,NDC,,George Mireku Duker,NPP
Wassa East,Isaac Adjei Mensah,NDC,,Isaac Adjei Mensah,NDC
Aowin,Oscar Ofori Larbi[111],NDC,,Oscar Ofori Larbi,NDC
Bia East,Richard Acheampong[112],NDC,,Richard Acheampong,NDC
Bia West,Mustapha Amadu Tanko[113],NDC,,Augustine Tawiah,NDC
Bibiani-Anhwiaso-Bekwai,Bright Asamoah Brefo,NDC,,Alfred Obeng Boateng,NPP
Bodi,Sampson Ahi[114],NDC,,Sampson Ahi,NDC
Juabeso,Kwabena Mintah Akandoh[115],NDC,,Kwabena Mintah Akandoh,NDC
Sefwi-Akontombra,Pious Kwame Nkuah[116],NDC,,Alex Tetteh Djornobuah,NPP
Sefwi-Wiawso,Kofi Benteh Afful[117],NDC,,Kwaku Afriyie,NPP
Suaman,Frederick Addy,NPP,,Joseph Betino,NDC
